Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked
Yes,2,678,female,28.0,0,0,230434,13.0,S
Yes,3,401,male,28.0,0,0,65306,8.1125,S
Yes,1,216,male,4.0,0,2,33638,81.8583,S
Yes,2,528,female,13.0,0,1,250644,19.5,S
Yes,1,734,male,34.0,0,0,113794,26.55,S
Yes,3,55,female,5.0,2,1,2666,19.2583,C
Yes,1,660,male,52.0,0,0,113786,30.5,S
No,2,852,male,36.0,1,2,C.A. 34651,27.75,S
No,3,316,male,28.0,1,0,65303,19.9667,S
No,1,257,male,30.0,0,0,113051,27.75,C
Yes,1,290,male,49.0,1,0,17453,89.1042,C
No,3,643,male,28.0,0,0,A/5 2817,8.05,S
Yes,3,391,male,29.0,0,0,349240,7.8958,C
No,1,536,male,65.0,0,0,13509,26.55,S
Yes,1,435,female,28.0,1,0,17464,51.8625,S
Yes,2,813,female,50.0,0,0,F.C.C. 13531,10.5,S
No,3,602,male,28.0,0,0,371060,7.75,Q
Yes,1,21,male,48.0,0,0,19952,26.55,S
No,3,556,male,34.0,0,0,364506,8.05,S
No,1,280,male,47.0,0,0,111320,38.5,S
No,2,537,male,48.0,0,0,234360,13.0,S
No,3,501,male,28.0,0,0,A/S 2816,8.05,S
No,3,296,male,38.0,0,0,SOTON/O.Q. 3101306,7.05,S
No,2,132,male,28.0,0,0,239853,0.0,S
No,1,765,male,56.0,0,0,113792,26.55,S
No,3,730,male,28.0,0,0,36209,7.725,Q
Yes,3,54,female,0.75,2,1,2666,19.2583,C
No,3,429,male,28.0,0,0,323592,7.25,S
No,3,124,male,38.0,0,0,315089,8.6625,S
Yes,2,853,female,33.0,1,2,C.A. 34651,27.75,S
Yes,2,400,female,23.0,0,0,SC/AH Basle 541,13.7917,C
No,3,785,female,22.0,0,0,7553,9.8375,S
No,1,164,male,28.0,0,0,110465,52.0,S
No,2,675,male,34.0,1,0,31027,21.0,S
No,3,107,male,29.0,1,0,3460,7.0458,S
No,3,424,male,22.0,0,0,350060,7.5208,S
Yes,3,365,female,2.0,0,1,3101298,12.2875,S
No,3,297,male,9.0,5,2,CA 2144,46.9,S
No,2,268,male,28.0,0,0,239854,0.0,S
No,3,705,male,50.0,0,0,A/5 3594,8.05,S
Yes,3,823,female,63.0,0,0,4134,9.5875,S
Yes,1,89,male,25.0,1,0,11967,91.0792,C
No,3,465,female,28.0,3,1,4133,25.4667,S
Yes,1,381,female,35.0,1,0,19943,90.0,S
No,1,434,male,58.0,0,0,11771,29.7,C
No,3,773,male,30.0,0,0,A.5. 18509,8.05,S
Yes,3,182,male,9.0,1,1,C.A. 37671,15.9,S
No,3,317,male,28.0,1,0,65304,19.9667,S
No,3,869,male,21.0,0,0,SOTON/OQ 3101317,7.25,S
No,1,546,male,55.0,0,0,113787,30.5,S
No,1,39,male,71.0,0,0,PC 17609,49.5042,C
No,3,780,male,21.0,0,0,A/4 45380,8.05,S
No,3,878,male,28.0,0,0,2627,14.4583,C
Yes,1,242,female,54.0,1,0,36947,78.2667,C
No,3,737,male,28.0,0,0,C.A. 6212,15.1,S
No,1,18,female,25.0,1,2,113781,151.55,S
No,3,794,male,24.0,0,0,350035,7.7958,S
No,3,130,male,17.0,0,0,315086,8.6625,S
No,3,133,female,21.0,0,0,364846,7.75,Q
No,3,606,female,28.0,0,0,330909,7.6292,Q
No,3,449,female,37.0,0,0,4135,9.5875,S
Yes,1,500,female,16.0,0,0,110152,86.5,S
No,1,645,male,18.0,1,0,PC 17758,108.9,C
Yes,2,669,female,33.0,0,2,26360,26.0,S
Yes,1,106,male,28.0,0,0,111427,26.55,S
No,3,609,male,28.0,0,0,C 4001,22.525,S
Yes,3,454,male,26.0,0,0,1601,56.4958,S
Yes,3,195,male,29.0,0,0,382651,7.75,Q
No,3,847,male,28.0,0,0,SOTON/OQ 3101316,8.05,S
Yes,1,520,male,36.0,0,0,PC 17473,26.2875,S
Yes,1,704,female,54.0,1,0,PC 17603,59.4,C
No,3,168,male,24.0,0,0,349209,7.4958,S
No,1,841,male,47.0,0,0,36967,34.0208,S
Yes,2,471,female,34.0,0,0,C.A. 34260,10.5,S
No,3,708,male,28.0,0,0,371110,24.15,Q
Yes,2,35,female,36.0,1,0,226875,26.0,S
No,3,640,male,32.0,0,0,349242,7.8958,S
Yes,1,650,female,30.0,0,0,12749,93.5,S
No,3,839,male,22.0,0,0,349252,7.8958,S
No,3,447,male,28.0,0,0,2624,7.225,C
Yes,1,364,female,44.0,0,1,111361,57.9792,C
No,3,426,male,28.0,0,0,2700,7.2292,C
No,3,244,male,40.5,0,0,367232,7.75,Q
Yes,2,688,female,50.0,0,0,W./C. 14258,10.5,S
No,1,245,male,28.0,0,0,PC 17483,221.7792,S
No,3,724,male,39.0,0,0,3101296,7.925,S
No,2,366,male,23.0,2,1,29104,11.5,S
Yes,2,668,female,2.0,1,1,26360,26.0,S
No,3,816,male,28.0,0,0,2641,7.2292,C
No,3,236,male,17.0,1,1,2690,7.2292,C
Yes,3,653,female,28.0,0,2,2668,22.3583,C
No,3,123,female,30.0,0,0,315084,8.6625,S
Yes,2,341,female,7.0,0,2,F.C.C. 13529,26.25,S
No,1,120,male,45.0,0,0,113050,26.55,S
Yes,1,460,female,30.0,0,0,PC 17761,106.425,C
No,3,691,male,28.0,0,0,364498,14.5,S
Yes,1,266,female,22.0,0,2,13568,49.5,C
Yes,1,188,female,36.0,0,2,WE/P 5735,71.0,S
No,3,26,female,9.0,4,2,347082,31.275,S
No,3,27,female,11.0,4,2,347082,31.275,S
Yes,2,73,male,32.0,1,0,2908,26.0,S
No,1,222,male,50.0,1,0,PC 17761,106.425,C
No,1,586,male,64.0,0,0,693,26.0,S
Yes,2,74,female,19.0,1,0,2908,26.0,S
Yes,2,621,male,28.0,0,0,SC/PARIS 2146,13.8625,C
No,3,294,male,33.0,1,1,363291,20.525,S
Yes,2,203,male,8.0,1,1,C.A. 33112,36.75,S
Yes,1,802,male,17.0,0,2,17421,110.8833,C
No,2,735,male,27.0,0,0,244358,26.0,S
No,3,599,male,28.0,0,0,330979,7.8292,Q
Yes,3,462,male,22.0,0,0,2620,7.225,C
Yes,3,608,female,22.0,0,0,347085,7.775,S
No,1,872,male,62.0,0,0,113807,26.55,S
Yes,1,228,female,48.0,1,0,11755,39.6,C
No,1,692,male,28.0,0,0,PC 17757,227.525,C
Yes,1,798,female,39.0,1,1,110413,79.65,S
Yes,3,883,female,36.0,1,0,345572,17.4,S
No,3,557,male,28.0,0,0,372622,7.75,Q
No,3,750,male,40.0,0,0,349251,7.8958,S
No,2,592,male,28.0,0,0,218629,13.5,S
No,3,745,male,28.0,0,0,SOTON/OQ 392082,8.05,S
No,3,526,female,28.0,0,0,SOTON/O.Q. 392087,8.05,S
No,3,204,male,24.0,2,0,A/4 48871,24.15,S
No,3,784,male,19.0,0,0,349205,7.8958,S
No,3,626,female,29.0,0,4,349909,21.075,S
No,3,217,male,28.0,0,0,2686,7.2292,C
Yes,3,415,male,32.0,0,0,350417,7.8542,S
Yes,2,336,male,62.0,0,0,S.W./PP 752,10.5,S
Yes,1,36,female,53.0,2,0,11769,51.4792,S
Yes,1,251,male,36.0,0,0,PC 17474,26.3875,S
Yes,3,431,female,28.0,0,0,14312,7.75,Q
No,3,707,male,16.0,0,0,A/4. 20589,8.05,S
No,3,638,male,19.0,0,0,358585,14.5,S
Yes,2,277,female,34.0,0,0,243880,13.0,S
Yes,1,744,female,39.0,1,0,13507,55.9,S
No,3,135,female,28.0,1,0,2689,14.4583,C
Yes,3,418,male,32.0,0,0,STON/O 2. 3101286,7.925,S
Yes,2,160,female,25.0,1,1,237789,30.0,S
Yes,1,803,female,39.0,1,1,17421,110.8833,C
No,2,224,male,54.0,0,0,28403,26.0,S
No,1,702,male,36.0,0,0,13049,40.125,C
No,3,639,male,28.0,0,0,3411,8.7125,C
Yes,1,796,female,18.0,0,2,110413,79.65,S
No,2,394,male,47.0,0,0,237565,15.0,S
Yes,1,267,male,60.0,1,1,13567,79.2,C
No,3,284,male,22.0,0,0,14973,8.05,S
No,3,565,male,28.0,0,0,A./5. 3235,8.05,S
No,3,690,male,35.0,0,0,STON/O 2. 3101273,7.125,S
Yes,1,782,female,52.0,1,0,36947,78.2667,C
No,3,238,male,47.0,0,0,A/5 3902,7.25,S
No,3,100,female,28.0,0,2,364848,7.75,Q
No,2,154,male,37.0,1,0,SC/AH 29037,26.0,S
No,3,828,male,36.0,1,1,345773,24.15,S
Yes,2,469,female,28.0,0,0,248727,33.0,S
No,3,408,male,49.0,0,0,LINE,0.0,S
No,3,98,male,28.0,0,0,2664,7.225,C
Yes,1,229,male,49.0,1,0,PC 17485,56.9292,C
Yes,2,390,female,24.0,2,1,243847,27.0,S
No,3,760,male,28.0,0,0,349214,7.8958,S
No,1,335,male,28.0,0,0,113796,42.4,S
No,3,814,male,44.0,0,0,364511,8.05,S
Yes,1,374,male,35.0,0,0,111426,26.55,C
No,3,482,male,36.0,1,0,349910,15.55,S
No,3,423,male,30.0,0,0,349246,7.8958,S
Yes,1,199,male,27.0,0,0,113804,30.5,S
Yes,2,457,female,22.0,1,2,SC/Paris 2123,41.5792,C
Yes,1,740,female,40.0,0,0,PC 17582,153.4625,S
No,3,30,female,39.0,1,5,347082,31.275,S
No,3,393,male,28.0,0,0,SOTON/O.Q. 3101305,7.05,S
Yes,3,567,female,28.0,1,0,367230,15.5,Q
No,3,377,male,28.0,0,0,370377,7.75,Q
No,3,110,male,35.0,0,0,364512,8.05,S
Yes,2,357,female,24.0,1,2,220845,65.0,S
No,3,197,male,34.0,1,1,347080,14.4,S
No,3,487,female,26.0,1,0,A/5. 3336,16.1,S
Yes,2,77,female,4.0,2,1,230136,39.0,S
No,2,279,male,26.0,0,0,31028,10.5,S
No,3,873,male,27.0,1,0,2659,14.4542,C
Yes,1,438,male,42.0,1,0,11753,52.5542,S
Yes,3,572,male,20.0,1,1,2653,15.7417,C
No,3,327,male,21.0,0,0,350029,7.8542,S
No,3,103,male,21.0,0,0,54636,16.1,S
No,1,792,male,61.0,0,0,36963,32.3208,S
No,2,441,male,57.0,0,0,219533,12.35,Q
Yes,1,489,female,21.0,0,0,13502,77.9583,S
No,3,96,male,26.0,0,0,349224,7.8958,S
No,3,601,male,28.0,0,0,334912,7.7333,Q
Yes,1,66,male,80.0,0,0,27042,30.0,S
No,3,493,male,51.0,0,0,347743,7.0542,S
Yes,1,776,male,32.0,0,0,13214,30.5,C
No,1,634,male,28.0,0,0,112052,0.0,S
No,3,756,female,9.0,3,2,347088,27.9,S
Yes,2,206,female,28.0,0,0,237668,13.0,S
No,3,468,male,32.0,0,0,STON/O 2. 3101292,7.925,S
No,2,173,male,31.0,1,1,C.A. 31921,26.25,S
No,3,632,female,41.0,0,5,3101295,39.6875,S
No,3,807,male,28.0,1,0,376564,16.1,S
No,3,396,male,20.0,0,0,350050,7.8542,S
Yes,1,722,female,24.0,0,0,PC 17477,69.3,C
No,3,757,female,2.0,3,2,347088,27.9,S
Yes,3,252,male,28.0,0,0,1601,56.4958,S
Yes,3,53,female,0.75,2,1,2666,19.2583,C
Yes,1,332,male,48.0,1,0,PC 17572,76.7292,C
No,3,180,male,19.0,0,0,349231,7.8958,S
Yes,1,746,male,56.0,0,0,13213,35.5,C
No,3,863,male,28.0,0,0,S.O./P.P. 751,7.55,S
Yes,3,779,female,23.0,0,0,CA. 2314,7.55,S
No,3,543,male,28.0,0,0,349221,7.8958,S
Yes,2,218,female,18.0,0,1,231919,23.0,S
No,3,420,male,21.0,0,0,8475,8.4333,S
Yes,3,605,female,28.0,0,0,330919,7.8292,Q
No,3,352,female,18.0,0,0,365226,6.75,Q
No,2,360,male,24.0,2,0,S.O.C. 14879,73.5,S
No,3,670,male,28.0,0,0,349223,7.8958,S
No,3,102,female,32.0,1,1,364849,15.5,Q
No,2,232,male,23.0,0,0,29751,13.0,S
No,1,583,male,58.0,0,2,35273,113.275,C
Yes,1,264,male,50.0,2,0,PC 17611,133.65,S
No,3,57,male,40.0,0,0,2623,7.225,C
No,1,171,male,47.0,0,0,5727,25.5875,S
No,3,167,male,36.0,0,0,349210,7.4958,S
Yes,3,483,male,20.0,1,0,STON/O 2. 3101285,7.925,S
No,2,361,male,32.0,2,0,S.O.C. 14879,73.5,S
No,2,119,male,25.0,0,0,234686,13.0,S
No,3,698,male,28.0,0,0,312993,7.775,S
No,3,179,male,43.0,0,0,A/5 3536,8.05,S
Yes,1,800,female,28.0,1,0,19996,52.0,S
Yes,2,114,female,40.0,1,1,29750,39.0,S
No,1,202,male,31.0,1,0,F.C. 12750,52.0,S
No,2,542,male,70.0,0,0,C.A. 24580,10.5,S
Yes,2,862,male,31.0,0,0,244270,13.0,S
No,2,844,male,28.0,0,0,239856,0.0,S
No,3,231,male,18.0,0,0,349912,7.775,S
No,3,729,male,24.5,0,0,342826,8.05,S
Yes,3,822,female,18.0,0,0,4138,9.8417,S
No,3,302,female,43.0,1,6,CA 2144,46.9,S
Yes,1,137,male,36.0,0,1,PC 17755,512.3292,C
No,3,654,female,28.0,0,0,330935,8.1375,Q
Yes,1,345,male,27.0,0,0,PC 17572,76.7292,C
No,3,614,male,20.0,0,0,6563,9.225,S
No,3,301,male,14.0,5,2,CA 2144,46.9,S
No,2,112,male,60.0,1,1,29750,39.0,S
No,2,456,male,25.0,1,2,SC/Paris 2123,41.5792,C
No,3,631,male,14.0,4,1,3101295,39.6875,S
No,3,194,male,19.0,0,0,349228,10.1708,S
No,3,247,male,18.0,0,0,350036,7.7958,S
Yes,1,497,female,15.0,0,1,24160,211.3375,S
Yes,1,213,male,31.0,1,0,17474,57.0,S
Yes,3,425,female,4.0,0,1,349256,13.4167,C
Yes,3,451,male,28.0,0,0,1601,56.4958,S
No,3,712,male,25.0,0,0,2672,7.225,C
No,1,848,male,60.0,0,0,113800,26.55,S
No,2,153,male,52.0,0,0,248731,13.5,S
No,3,432,male,44.0,0,0,363592,8.05,S
Yes,3,564,female,28.0,0,0,35852,7.7333,Q
No,1,801,male,49.0,1,1,17421,110.8833,C
No,3,382,male,42.0,0,0,348121,7.65,S
Yes,1,45,female,18.0,1,0,PC 17757,227.525,C
Yes,1,742,male,35.0,0,0,PC 17475,26.2875,S
No,3,63,female,18.0,0,1,2691,14.4542,C
No,3,275,male,25.0,0,0,36864,7.7417,Q
No,3,326,male,26.0,1,0,350025,7.8542,S
No,2,555,male,39.0,0,0,250655,26.0,S
Yes,2,433,female,45.0,0,0,223596,13.5,S
Yes,1,126,male,42.0,0,0,PC 17476,26.2875,S
Yes,1,163,female,22.0,0,0,113781,151.55,S
Yes,3,560,male,28.0,1,1,2661,15.2458,C
Yes,1,513,female,24.0,0,0,PC 17482,49.5042,C
No,1,442,male,28.0,0,0,113028,26.55,S
Yes,1,799,male,48.0,1,0,19996,52.0,S
No,3,458,male,29.0,0,0,7545,9.4833,S
No,2,307,male,52.0,0,0,250647,13.0,S
No,3,772,male,19.0,0,0,348124,7.65,S
Yes,1,241,female,38.0,0,0,PC 17757,227.525,C
Yes,2,820,female,27.0,0,0,34218,10.5,S
No,3,519,male,28.0,0,0,36568,15.5,Q
No,3,409,male,33.0,0,0,347062,7.775,S
Yes,2,331,female,6.0,0,1,248727,33.0,S
No,3,398,male,17.0,1,0,350048,7.0542,S
No,2,286,male,34.0,0,0,12233,13.0,S
No,2,368,male,50.0,0,0,250643,13.0,S
Yes,1,151,male,27.0,1,0,113806,53.1,S
No,3,616,male,20.0,0,0,315094,8.6625,S
Yes,2,676,female,30.0,3,0,31027,21.0,S
Yes,3,506,female,28.0,0,0,36866,7.7375,Q
No,2,115,male,25.0,1,0,236853,26.0,S
No,3,386,female,25.0,1,0,STON/O2. 3101271,7.925,S
Yes,1,14,female,29.0,0,0,24160,211.3375,S
No,3,346,male,11.0,0,0,2699,18.7875,C
No,2,444,male,28.0,0,0,239855,0.0,S
No,2,84,male,23.0,0,0,28425,13.0,S
No,2,818,male,23.0,0,0,233639,13.0,S
No,3,867,male,28.5,0,0,54636,16.1,S
No,3,256,female,48.0,1,3,W./C. 6608,34.375,S
Yes,1,475,male,35.0,0,0,PC 17755,512.3292,C
No,3,388,male,28.0,0,0,349201,7.8958,S
No,3,573,male,28.0,0,0,349218,7.8958,S
Yes,1,347,male,28.0,0,0,16988,30.0,S
No,1,148,male,36.0,1,0,19877,78.85,S
Yes,1,710,female,21.0,2,2,PC 17608,262.375,C
No,3,525,male,24.0,1,0,376566,16.1,S
Yes,3,786,male,31.0,0,0,STON/O 2. 3101288,7.925,S
No,1,187,male,70.0,1,1,WE/P 5735,71.0,S
No,3,1,male,16.0,1,1,C.A. 2673,20.25,S
Yes,2,747,female,30.0,0,0,250648,13.0,S
No,1,510,male,19.0,1,0,113773,53.1,S
No,3,176,male,31.0,0,0,335097,7.75,Q
Yes,2,850,female,4.0,1,1,29103,23.0,S
Yes,3,548,male,6.0,0,1,392096,12.475,S
No,3,831,male,33.0,0,0,345780,9.5,S
No,3,414,male,23.0,0,0,349204,7.8958,S
Yes,2,358,female,48.0,1,2,220845,65.0,S
Yes,2,321,male,0.67,1,1,250649,14.5,S
No,3,138,male,28.0,0,0,350042,7.7958,S
No,2,58,male,18.0,0,0,29108,11.5,S
No,3,804,male,34.0,0,0,363294,8.05,S
Yes,1,703,female,33.0,0,0,110152,86.5,S
No,3,276,male,28.0,0,0,358585,14.5,S
No,3,590,male,41.0,0,0,SOTON/O2 3101272,7.125,S
Yes,3,62,male,20.0,0,0,2663,7.2292,C
Yes,1,146,female,36.0,1,2,113760,120.0,S
No,3,233,male,16.0,0,0,347074,7.775,S
Yes,1,369,female,51.0,1,0,13502,77.9583,S
No,1,109,male,28.0,0,0,112379,39.6,C
No,3,505,female,30.5,0,0,364850,7.75,Q
No,3,552,male,28.0,1,0,371110,24.15,Q
No,3,309,male,32.0,0,0,8471,8.3625,S
No,3,479,male,24.0,0,0,345781,9.5,S
No,3,397,male,48.0,0,0,350047,7.8542,S
No,2,495,female,57.0,0,0,S.O./P.P. 3,10.5,S
No,3,235,male,28.0,0,0,2674,7.225,C
Yes,2,367,female,54.0,1,3,29105,23.0,S
No,3,568,male,18.0,0,0,347078,7.75,S
No,3,810,male,28.0,0,0,383121,7.75,Q
Yes,3,239,female,5.0,0,0,364516,12.475,S
No,3,437,male,28.0,0,0,36865,7.7375,Q
Yes,1,693,female,43.0,0,1,24160,211.3375,S
Yes,3,50,female,13.0,0,0,2687,7.2292,C
Yes,1,214,female,17.0,1,0,17474,57.0,S
No,1,488,male,29.0,0,0,113501,30.0,S
No,3,413,male,28.0,1,2,W./C. 6607,23.45,S
No,3,13,male,25.0,0,0,SOTON/O.Q. 3101312,7.05,S
No,3,330,male,25.0,0,0,374887,7.25,S
Yes,3,752,female,18.0,0,0,3101265,7.4958,S
No,3,682,male,8.0,4,1,382652,29.125,Q
Yes,3,208,male,1.0,1,2,C.A. 2315,20.575,S
No,1,310,male,46.0,0,0,PC 17593,79.2,C
No,3,428,male,28.0,0,0,12460,7.75,Q
No,2,278,male,16.0,0,0,239865,26.0,S
No,3,718,female,28.0,8,2,CA. 2343,69.55,S
No,1,380,male,28.0,0,0,PC 17600,30.6958,C
No,3,201,male,25.0,0,0,349203,7.8958,S
No,2,620,male,39.0,0,0,28213,13.0,S
Yes,1,461,female,49.0,0,0,17465,25.9292,S
Yes,3,618,female,31.0,0,0,349244,8.6833,S
No,3,384,male,30.0,0,0,2685,7.2292,C
No,3,829,female,30.0,1,1,345773,24.15,S
No,2,665,male,34.0,0,0,250647,13.0,S
Yes,2,174,female,31.0,1,1,C.A. 31921,26.25,S
Yes,1,142,male,11.0,1,2,113760,120.0,S
Yes,3,805,male,0.42,0,1,2625,8.5167,C
Yes,3,351,male,27.0,0,0,347089,6.975,S
No,3,405,male,31.0,0,0,347063,7.775,S
No,1,34,male,39.0,0,0,112050,0.0,S
No,3,659,female,18.0,0,0,347087,7.775,S
No,2,533,male,39.0,0,0,248723,13.0,S
Yes,1,152,female,33.0,1,0,113806,53.1,S
No,3,10,male,26.0,0,0,3474,7.8875,S
No,3,474,male,39.0,0,0,A/4 48871,24.15,S
No,2,762,male,35.0,0,0,28206,10.5,S
No,3,23,female,6.0,4,2,347082,31.275,S
No,3,812,male,30.5,0,0,364499,8.05,S
No,1,269,male,28.0,0,0,112058,0.0,S
No,3,354,female,23.0,0,0,STON/O2. 3101290,7.925,S
No,2,503,male,31.0,1,1,S.C./PARIS 2079,37.0042,C
No,3,371,male,43.0,0,0,C 7075,6.45,S
No,3,755,male,10.0,3,2,347088,27.9,S
Yes,1,349,female,52.0,1,1,12749,93.5,S
Yes,3,492,male,27.0,0,0,315098,8.6625,S
No,1,677,male,38.0,0,0,19972,0.0,S
Yes,3,549,female,27.0,0,1,392096,12.475,S
No,3,629,male,2.0,4,1,3101295,39.6875,S
No,3,250,male,28.0,0,0,368323,6.95,Q
No,3,452,male,28.0,0,0,1601,56.4958,S
Yes,2,502,male,1.0,0,2,S.C./PARIS 2079,37.0042,C
Yes,3,515,male,28.0,0,0,367228,7.75,Q
Yes,3,874,female,15.0,1,0,2659,14.4542,C
Yes,2,685,male,0.83,1,1,29106,18.75,S
No,3,711,male,28.0,0,0,2671,7.2292,C
No,3,49,male,23.0,0,0,347468,7.8542,S
No,3,19,male,18.0,0,0,2223,8.3,S
Yes,1,175,female,39.0,1,1,PC 17756,83.1583,C
No,3,637,male,21.0,0,0,315097,8.6625,S
No,3,749,male,28.0,0,0,392092,8.05,S
Yes,3,158,male,32.0,0,0,1601,56.4958,S
Yes,1,507,male,28.0,0,0,11774,29.7,C
No,3,11,male,20.0,0,0,SOTON/O2 3101287,7.925,S
No,2,563,male,16.0,0,0,S.O./P.P. 3,10.5,S
Yes,1,733,female,30.0,0,0,113798,31.0,C
No,3,470,male,34.5,0,0,2683,6.4375,C
No,3,189,male,17.0,0,0,315090,8.6625,S
No,3,0,male,42.0,0,0,C.A. 5547,7.55,S
No,3,719,male,28.0,8,2,CA. 2343,69.55,S
No,3,508,male,35.0,0,0,349213,7.8958,C
No,2,334,male,28.0,0,1,248727,33.0,S
Yes,1,291,female,28.0,1,0,17453,89.1042,C
No,3,22,male,4.0,4,2,347082,31.275,S
No,3,793,male,74.0,0,0,347060,7.775,S
No,3,97,female,9.0,1,1,2678,15.2458,C
Yes,1,484,female,16.0,0,1,PC 17592,39.4,S
No,2,145,female,44.0,1,0,244252,26.0,S
Yes,3,8,female,18.0,0,1,392091,9.35,S
Yes,1,858,female,45.0,1,1,36928,164.8667,S
Yes,1,196,male,51.0,0,0,113055,26.55,S
Yes,3,56,female,24.0,0,3,2666,19.2583,C
No,3,671,male,28.0,0,0,2629,7.2292,C
No,3,325,male,41.0,2,0,350026,14.1083,S
No,2,283,male,21.0,1,0,28134,11.5,S
Yes,1,795,female,48.0,0,0,17466,25.9292,S
No,3,717,female,28.0,8,2,CA. 2343,69.55,S
No,2,285,male,24.0,0,0,233866,13.0,S
Yes,2,122,female,42.0,0,0,236852,13.0,S
Yes,2,230,female,27.0,1,0,SC/PARIS 2149,13.8583,C
No,1,695,male,31.0,0,0,PC 17590,50.4958,S
No,3,888,male,28.0,0,0,345777,9.5,S
Yes,3,406,male,4.0,1,1,347742,11.1333,S
No,3,59,male,26.0,0,0,349248,7.8958,S
Yes,1,79,female,47.0,1,1,11751,52.5542,S
No,1,139,male,33.0,0,0,695,5.0,S
No,3,834,male,47.0,0,0,345765,9.0,S
Yes,2,4,female,28.0,1,0,P/PP 3381,24.0,C
Yes,3,570,female,15.0,0,0,2667,7.225,C
No,3,311,male,20.0,0,0,7534,9.8458,S
No,3,656,male,19.0,0,0,349212,7.8958,S
No,3,450,male,28.0,0,0,349217,7.8958,S
Yes,1,667,female,56.0,0,1,11767,83.1583,C
Yes,2,738,female,25.0,0,1,230433,26.0,S
No,3,509,male,33.0,0,0,349257,7.8958,S
No,3,193,female,22.0,0,0,7552,10.5167,S
No,2,61,male,28.0,0,0,C.A./SOTON 34068,10.5,S
No,3,791,male,25.0,0,0,SOTON/OQ 392076,7.05,S
No,3,683,female,39.0,0,5,382652,29.125,Q
No,2,547,male,27.0,0,0,211536,13.0,S
Yes,1,303,female,19.0,0,0,112053,30.0,S
No,3,412,female,28.0,1,2,W./C. 6607,23.45,S
Yes,1,81,male,26.0,0,0,111369,30.0,C
No,3,220,male,32.0,0,0,370376,7.75,Q
